TUITIONFEE_IN,TUITIONFEE_OUT,NPT4_PUB,NPT4_PRIV,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,ST_FIPS,REGION,LOCALE,BOOKSUPPLY,ROOMBOARD_ON,OTHEREXPENSE_ON,ROOMBOARD_OFF,OTHEREXPENSE_OFF,OTHEREXPENSE_FAM,CONTROL,PREDDEG,ADM_RATE,UGDS,LOCALE2,PCTPELL,PCTFLOAN,ENDOWBEGIN,ENDOWEND,STUFACR,SAT_AVG,C150_4,COMP_ORIG_YR4_RT,COMP_ORIG_YR6_RT,RPY_1YR_RT,COMPL_RPY_1YR_RT,GRAD_DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,MD_EARN_WNE_P10,PCT10_EARN_WNE_P10,PCT25_EARN_WNE_P10,PCT75_EARN_WNE_P10,PCT90_EARN_WNE_P10,MD_EARN_WNE_P6,PCT10_EARN_WNE_P6,PCT25_EARN_WNE_P6,PCT75_EARN_WNE_P6,PCT90_EARN_WNE_P6,C100_4,INSTNM,CITY,RET_FT4,C200_4
10024.0,18634.0,14559.0,,13776.0,13923.0,16471.0,19057.0,18200.0,,,,,,1.0,5.0,12.0,2192.0,11402.0,3864.0,11402.0,3864.0,4271.0,1.0,3.0,0.6622,5726.0,,0.6441,0.5859,,,19.0,947.0,0.2874,0.22236671,0.30275974,0.173469388,0.336676218,31000.0,17500.0,16000.0,15000.0,40628.0,6700.0,23030.0,60507.0,70000.0,27851.0,4500.0,14130.0,44543.0,51400.0,0.1488,Alabama A & M University,Normal,0.6387,0.2962
8832.0,21864.0,17727.0,,14816.0,15876.0,18310.0,20913.0,21326.0,,,,,,1.0,5.0,12.0,1200.0,13590.0,5757.0,14580.0,6007.0,6007.0,1.0,3.0,0.8842,12118.0,,0.3318,0.4097,673320170.0,739372914.0,18.0,1251.0,0.626,0.454072146,0.540062844,0.451034777,0.574557316,22300.0,16666.0,15985.0,15000.0,54501.0,10900.0,33873.0,80711.0,84000.0,46572.0,9700.0,29464.0,66959.0,66200.0,0.4327,University of Alabama at Birmingham,Birmingham,0.8195,0.649
,,,,,,,,,,,,,,1.0,5.0,12.0,,,,,,,2.0,3.0,,226.0,,0.6842,0.7237,174819.0,174864.0,12.0,,0.4,0.1328125,0.084848485,0.16017316,0.333333333,32189.0,12875.0,18803.0,19917.0,37621.0,6800.0,21760.0,57946.0,79500.0,30377.0,7300.0,16396.0,46143.0,75400.0,0.4,Amridge University,Montgomery,,0.6667
11770.0,24662.0,19880.0,,16521.0,17935.0,21187.0,21205.0,21937.0,,,,,,1.0,5.0,12.0,2416.0,11122.0,4462.0,11122.0,4462.0,4462.0,1.0,3.0,0.7425,6650.0,,0.225,0.3391,87756960.0,99627019.0,17.0,1321.0,0.6191,0.369397218,0.480613165,0.50200267,0.640888889,20705.0,14502.0,13075.0,13954.0,61767.0,12900.0,37446.0,91119.0,93300.0,55610.0,9100.0,33999.0,81066.0,70300.0,0.41,University of Alabama in Huntsville,Huntsville,0.805,0.6296
11248.0,19576.0,13889.0,,13512.0,14047.0,15155.0,15771.0,11863.0,,,,,,1.0,5.0,12.0,1600.0,7690.0,3392.0,7320.0,5130.0,5130.0,1.0,3.0,0.9564,3322.0,,0.7203,0.7776,108202146.0,118616285.0,16.0,977.0,0.3018,0.246203038,0.322360953,0.136110296,0.244680851,31000.0,17750.0,17000.0,18500.0,34502.0,7100.0,18132.0,51026.0,55400.0,27453.0,4300.0,15271.0,40900.0,39800.0,0.1346,Alabama State University,Montgomery,0.6045,0.2972
11900.0,33200.0,22150.0,,18592.0,19928.0,23056.0,25396.0,25773.0,,,,,,1.0,5.0,12.0,800.0,14840.0,5842.0,14564.0,6598.0,7179.0,1.0,3.0,0.7582,32323.0,,0.1799,0.3358,1144632976.0,1369440098.0,19.0,1287.0,0.7369,0.57664659,0.619616205,0.546711353,0.657238365,22750.0,17750.0,18500.0,17750.0,59221.0,13100.0,39848.0,87405.0,85000.0,52233.0,9800.0,33353.0,75004.0,61600.0,0.5623,The University of Alabama,Tuscaloosa,0.8609,0.7298
,,,,,,,,,,,,,,1.0,5.0,31.0,,,,,,,1.0,3.0,,2407.0,,0.4238,0.4099,4982337.0,6058537.0,14.0,,,0.534482759,0.599499374,0.431859479,0.52690583,18051.0,15650.0,14848.0,13487.0,50273.0,12600.0,33492.0,70554.0,74000.0,46266.0,9900.0,33504.0,62494.0,61200.0,,Athens State University,Athens,,
9436.0,20092.0,14596.0,,12999.0,13645.0,16689.0,18249.0,16075.0,,,,,,1.0,5.0,12.0,1500.0,7368.0,4478.0,12762.0,4478.0,4478.0,1.0,3.0,0.9263,2693.0,,0.4275,0.456,57070175.0,60862957.0,15.0,1090.0,0.3568,0.279424978,0.311836735,0.382237701,0.58493353,25000.0,13000.0,14125.0,12500.0,44391.0,9500.0,26860.0,63615.0,66300.0,38216.0,8800.0,22285.0,55734.0,55900.0,0.136,Auburn University at Montgomery,Montgomery,0.658,0.3993
12536.0,33944.0,23897.0,,16332.0,17633.0,21834.0,26957.0,29310.0,,,,,,1.0,5.0,13.0,1200.0,15396.0,6166.0,14736.0,6166.0,6166.0,1.0,3.0,0.5047,25732.0,,0.1226,0.2701,911152148.0,1010419784.0,21.0,1318.0,0.7921,0.664,0.731697506,0.683124241,0.769965278,21000.0,18750.0,18250.0,16750.0,65337.0,13800.0,43620.0,95597.0,91400.0,54629.0,11800.0,36022.0,74667.0,67000.0,0.5661,Auburn University,Auburn,0.9319,0.8216
22750.0,22750.0,,23351.0,,,,,,19562.0,20562.0,21634.0,22894.0,25419.0,1.0,5.0,12.0,1062.0,14300.0,2268.0,6500.0,3416.0,3416.0,2.0,3.0,0.5194,713.0,,0.2256,0.6738,51470511.0,52826730.0,9.0,1197.0,0.6418,0.662962963,0.643171806,0.702576112,0.767955801,25000.0,12000.0,17730.0,16250.0,59481.0,9800.0,33426.0,92516.0,77600.0,45229.0,6300.0,27202.0,60501.0,58300.0,0.5559,Birmingham-Southern College,Birmingham,0.6311,0.7052
