TUITIONFEE_IN,TUITIONFEE_OUT,ST_FIPS,REGION,LOCALE,CONTROL,PREDDEG,UGDS,PCTPELL,PCTFLOAN,STUFACR,C150_4,COMP_ORIG_YR4_RT,COMP_ORIG_YR6_RT,GRAD_DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,MD_EARN_WNE_P10,PCT10_EARN_WNE_P10,PCT25_EARN_WNE_P10,PCT75_EARN_WNE_P10,PCT90_EARN_WNE_P10,MD_EARN_WNE_P6,PCT10_EARN_WNE_P6,PCT25_EARN_WNE_P6,PCT75_EARN_WNE_P6,PCT90_EARN_WNE_P6,C100_4,INSTNM,CITY,RET_FT4,C200_4
10024.0,18634.0,1.0,5.0,12.0,1.0,3.0,5726.0,0.6441,0.5859,19.0,0.2874,0.22236671,0.30275974,31000.0,17500.0,16000.0,15000.0,40628.0,6700.0,23030.0,60507.0,70000.0,27851.0,4500.0,14130.0,44543.0,51400.0,0.1488,Alabama A & M University,Normal,0.6387,0.2962
8832.0,21864.0,1.0,5.0,12.0,1.0,3.0,12118.0,0.3318,0.4097,18.0,0.626,0.454072146,0.540062844,22300.0,16666.0,15985.0,15000.0,54501.0,10900.0,33873.0,80711.0,84000.0,46572.0,9700.0,29464.0,66959.0,66200.0,0.4327,University of Alabama at Birmingham,Birmingham,0.8195,0.649
11770.0,24662.0,1.0,5.0,12.0,1.0,3.0,6650.0,0.225,0.3391,17.0,0.6191,0.369397218,0.480613165,20705.0,14502.0,13075.0,13954.0,61767.0,12900.0,37446.0,91119.0,93300.0,55610.0,9100.0,33999.0,81066.0,70300.0,0.41,University of Alabama in Huntsville,Huntsville,0.805,0.6296
11248.0,19576.0,1.0,5.0,12.0,1.0,3.0,3322.0,0.7203,0.7776,16.0,0.3018,0.246203038,0.322360953,31000.0,17750.0,17000.0,18500.0,34502.0,7100.0,18132.0,51026.0,55400.0,27453.0,4300.0,15271.0,40900.0,39800.0,0.1346,Alabama State University,Montgomery,0.6045,0.2972
11900.0,33200.0,1.0,5.0,12.0,1.0,3.0,32323.0,0.1799,0.3358,19.0,0.7369,0.57664659,0.619616205,22750.0,17750.0,18500.0,17750.0,59221.0,13100.0,39848.0,87405.0,85000.0,52233.0,9800.0,33353.0,75004.0,61600.0,0.5623,The University of Alabama,Tuscaloosa,0.8609,0.7298
9436.0,20092.0,1.0,5.0,12.0,1.0,3.0,2693.0,0.4275,0.456,15.0,0.3568,0.279424978,0.311836735,25000.0,13000.0,14125.0,12500.0,44391.0,9500.0,26860.0,63615.0,66300.0,38216.0,8800.0,22285.0,55734.0,55900.0,0.136,Auburn University at Montgomery,Montgomery,0.658,0.3993
12536.0,33944.0,1.0,5.0,13.0,1.0,3.0,25732.0,0.1226,0.2701,21.0,0.7921,0.664,0.731697506,21000.0,18750.0,18250.0,16750.0,65337.0,13800.0,43620.0,95597.0,91400.0,54629.0,11800.0,36022.0,74667.0,67000.0,0.5661,Auburn University,Auburn,0.9319,0.8216
22750.0,22750.0,1.0,5.0,12.0,2.0,3.0,713.0,0.2256,0.6738,9.0,0.6418,0.662962963,0.643171806,25000.0,12000.0,17730.0,16250.0,59481.0,9800.0,33426.0,92516.0,77600.0,45229.0,6300.0,27202.0,60501.0,58300.0,0.5559,Birmingham-Southern College,Birmingham,0.6311,0.7052
18238.0,18238.0,1.0,5.0,12.0,3.0,3.0,302.0,0.6952,0.7016,13.0,0.1538,0.222162162,0.178076996,26123.0,12643.0,15278.0,14700.0,34421.0,7100.0,17463.0,53014.0,67200.0,34115.0,7600.0,17590.0,54613.0,74600.0,0.0,South University-Montgomery,Montgomery,0.2857,0.1364
23920.0,23920.0,1.0,5.0,12.0,2.0,3.0,1555.0,0.4381,0.5787,13.0,0.3766,0.354166667,0.326674501,23000.0,15750.0,14000.0,14600.0,43457.0,9800.0,25494.0,64288.0,80700.0,37313.0,8200.0,21514.0,55122.0,63600.0,0.2048,Faulkner University,Montgomery,0.7039,0.1661
28650.0,28650.0,1.0,5.0,12.0,2.0,3.0,865.0,0.3879,0.7081,14.0,0.4694,0.515060241,0.572192513,27000.0,25000.0,19625.0,15250.0,49601.0,9100.0,34151.0,71130.0,73200.0,42147.0,12200.0,28944.0,58518.0,54500.0,0.3946,Huntingdon College,Montgomery,0.6667,0.4462
